iter	Passed	Remaining
399	44227	11056
400	44328	10943
401	44432	10831
402	44574	10728
403	44680	10617
404	44784	10505
405	44890	10393
406	44994	10281
407	45100	10169
408	45202	10057
409	45315	9947
410	45432	9838
411	45536	9726
412	45637	9613
413	45748	9503
414	45860	9393
415	45967	9281
416	46067	9169
417	46167	9056
418	46273	8945
419	46387	8835
420	46507	8727
421	46611	8615
422	46771	8513
423	46873	8401
424	46975	8289
425	47073	8177
426	47179	8065
427	47287	7954
428	47389	7842
429	47495	7731
430	47598	7620
431	47701	7508
432	47801	7396
433	47904	7285
434	48005	7173
435	48108	7061
436	48210	6950
437	48322	6840
438	48429	6729
439	48532	6618
440	48636	6506
441	48735	6395
442	48843	6284
443	49001	6180
444	49107	6069
445	49210	5958
446	49319	5847
447	49417	5735
448	49516	5624
449	49614	5512
450	49718	5401
451	49822	5290
452	49918	5179
453	50017	5067
454	50118	4956
455	50216	4845
456	50318	4734
457	50419	4623
458	50520	4512
459	50622	4401
460	50719	4290
461	50820	4180
462	50923	4069
463	51027	3959
464	51218	3855
465	51340	3745
466	51464	3636
467	51567	3525
468	51669	3415
469	51780	3305
470	51924	3197
471	52042	3087
472	52145	2976
473	52251	2866
474	52355	2755
475	52461	2645
476	52565	2534
477	52665	2423
478	52767	2313
479	52871	2202
480	52970	2092
481	53069	1981
482	53171	1871
483	53337	1763
484	53441	1652
485	53564	1542
486	53665	1432
487	53767	1322
488	53880	1212
489	53990	1101
490	54092	991
491	54194	881
492	54293	770
493	54403	660
494	54506	550
495	54608	440
496	54709	330
497	54811	220
498	54914	110
499	55017	0
