iter	Logloss
0	0.5390293986
1	0.4188086912
2	0.3668756726
3	0.3390933628
4	0.311438544
5	0.2745798597
6	0.2546116124
7	0.2349594038
8	0.2195506481
9	0.2047178656
10	0.1933150457
11	0.1826752785
12	0.1738202552
13	0.1672266244
14	0.1591642674
15	0.1521347116
16	0.1470087599
17	0.1400884299
18	0.1351676594
19	0.1311086619
20	0.1282436219
21	0.1240079143
22	0.1193946072
23	0.1159264686
24	0.1120521453
25	0.108287486
26	0.1062535729
27	0.1044178968
28	0.1016935175
29	0.1003993821
30	0.09862099179
31	0.09716260642
32	0.09401839559
33	0.09200618985
34	0.09067459254
35	0.08980880175
36	0.08924053913
37	0.08693640842
38	0.08566567157
39	0.08515348334
40	0.0829238887
41	0.08245113196
42	0.08019641078
43	0.07957890841
44	0.07828935658
45	0.0765852445
46	0.07572765585
47	0.07518658104
48	0.07339360194
49	0.07162126088
50	0.07070889887
51	0.07007518963
52	0.0694661954
53	0.06815985507
54	0.06743348441
55	0.06587894237
56	0.06541742571
57	0.06355708439
58	0.06316162976
59	0.06290926233
60	0.06283861523
61	0.06236789281
62	0.06202591182
63	0.0614417156
64	0.06127456796
65	0.06107343681
66	0.06090638055
67	0.05994160615
68	0.05952441609
69	0.0587591512
70	0.05746162079
71	0.05721661558
72	0.05676704784
73	0.056613973
74	0.05620196244
75	0.05601726988
76	0.05585535318
77	0.05556768056
78	0.05537867893
79	0.05486965508
80	0.05438444917
81	0.05346530131
82	0.05338717521
83	0.05231988792
84	0.05226488167
85	0.05187670577
86	0.05173153161
87	0.05129577105
88	0.05109361459
89	0.05088965875
90	0.0502347811
91	0.05011608591
92	0.05000906927
93	0.04993480337
94	0.04870579278
95	0.04843185526
96	0.04787590846
97	0.04768908334
98	0.04743868005
99	0.04704043797
100	0.0470142184
101	0.04689872992
102	0.04600328576
103	0.04594989973
104	0.04590344848
105	0.04564968845
106	0.04464589115
107	0.04449946338
108	0.04447860001
109	0.04415253742
110	0.04397751468
111	0.04304315227
112	0.04291991298
113	0.04276191993
114	0.04240737394
115	0.041646095
116	0.0408544611
117	0.04008900517
118	0.03962685525
119	0.03947821327
120	0.03881605343
121	0.03855388004
122	0.03790703339
123	0.03739663147
124	0.03673550931
125	0.03662980293
126	0.03612934282
127	0.03597801603
128	0.03588624371
129	0.03574219861
130	0.03570623592
131	0.03557200622
132	0.03495108701
133	0.03495108364
134	0.03494650398
135	0.03468562287
136	0.03410852429
137	0.03398777283
138	0.0338124872
139	0.03360271927
140	0.03319335204
141	0.0331854403
142	0.03261876266
143	0.03250622302
144	0.03210082742
145	0.03200763387
146	0.03193619938
147	0.03190012225
148	0.03149479726
149	0.03145147718
150	0.03126986691
151	0.03126970111
152	0.03072227196
153	0.03068658248
154	0.030682162
155	0.03068139677
156	0.03065113086
157	0.03026496832
158	0.03018590584
159	0.03014717512
160	0.03014706969
161	0.03014549486
162	0.03014439388
163	0.03012928636
164	0.02986449515
165	0.02972421205
166	0.02971733905
167	0.0295787999
168	0.02955065915
169	0.02938989485
170	0.02915966001
171	0.0291405423
172	0.02909860951
173	0.02908811638
174	0.02898676947
175	0.02891514621
176	0.0287962239
177	0.0287306537
178	0.02863810848
179	0.02829253154
180	0.0282749177
181	0.02827216328
182	0.02825790298
183	0.0281072916
184	0.02780747508
185	0.02772239156
186	0.02772239093
187	0.02766365157
188	0.02753507139
189	0.02741109895
190	0.02734387343
191	0.0273359206
192	0.02733588961
193	0.02729791962
194	0.02729790631
195	0.02725854261
196	0.02724983835
197	0.027044848
198	0.02694851604
199	0.02687728079
200	0.02687076899
201	0.02685466604
202	0.0264952892
203	0.02647881992
204	0.02619259322
205	0.02611055166
206	0.0260444168
207	0.02604394151
208	0.02594597858
209	0.02594159443
210	0.02593316396
211	0.0259331603
212	0.02593315473
213	0.02585218835
214	0.0258294355
215	0.02574365436
216	0.02572997727
217	0.02554045341
218	0.02554043763
219	0.02545679572
220	0.02535197685
221	0.02531619113
222	0.02526144473
223	0.02526144048
224	0.02525769695
225	0.02524803709
226	0.02522379002
227	0.02520989133
228	0.02519532094
229	0.02510304874
230	0.02510021386
231	0.02509259872
232	0.02505291629
233	0.02497514815
234	0.02484852944
235	0.02483083451
236	0.02478631446
237	0.02471049587
238	0.02444386154
239	0.02436768343
240	0.02413777304
241	0.02407050517
242	0.0240290099
243	0.02394190546
244	0.02380353315
245	0.02380126384
246	0.02378660624
247	0.0237843841
248	0.023780067
249	0.02368490636
250	0.02368106151
251	0.02365503877
252	0.0236103052
253	0.02357896728
254	0.0235776529
255	0.02357763058
256	0.02350408994
257	0.02344816883
258	0.02344468438
259	0.02344453444
260	0.0233346422
261	0.02333331619
262	0.02333029211
263	0.02327696467
264	0.02324105313
265	0.02317958583
266	0.02315032287
267	0.02314831241
268	0.02313946695
269	0.02313167482
270	0.02313161608
271	0.02309746058
272	0.02309511571
